"","V1","V2"
"659",11.7690905,46.5442849
"660",11.768815,46.5447935
"661",11.7684861,46.5452383
"662",11.7682429,46.5455083
"663",11.7677572,46.5459387
"664",11.7652328,46.5471037
"665",11.7651675,46.547184
"666",11.7655447,46.5475014
"667",11.7658206,46.5477843
"668",11.7658848,46.5479628
"669",11.798227,46.5507128
"670",11.7982937,46.5509908
"671",11.7960726,46.5519228
"672",11.7954546,46.5521235
"673",11.7949894,46.5522396
"674",11.8131781,46.4787553
"675",11.8130317,46.4786655
"676",11.8127719,46.4787146
"677",11.8121734,46.4785831
"678",11.811919,46.478395
"679",11.8009122,46.4824243
"680",11.8013078,46.4821699
"681",11.7963245,46.4839724
"682",11.7953885,46.4840948
"683",11.7949928,46.4841776
"684",11.7945675,46.4842537
"685",11.7939247,46.4843211
"686",11.7935954,46.4844084
"687",11.7933487,46.4844971
"688",11.7927242,46.4849365
"689",11.7921613,46.4853041
"690",11.7919614,46.4854187
"691",11.7917223,46.4855095
"692",11.7914412,46.4856491
"693",11.7911946,46.4858608
"694",11.787264,46.4909918
"695",11.7870422,46.4912597
"696",11.7868362,46.4915315
"697",11.7867669,46.4922459
"698",11.7869187,46.4929378
"699",11.7869411,46.4931848
"700",11.7869161,46.4932895
"701",11.7868469,46.4933705
"702",11.7867359,46.4934148
"703",11.7865764,46.4933984
"704",11.7864542,46.4933657
"705",11.7863565,46.4932872
"706",11.7861165,46.4930621
"707",11.7854263,46.4922173
"708",11.7852513,46.4918615
"709",11.7851409,46.4915256
"710",11.7850481,46.4912394
"711",11.7850412,46.4909389
"712",11.7850208,46.4907262
"713",11.7848999,46.4907152
"714",11.7845539,46.4906839
"715",11.7840727,46.4908019
"716",11.7825844,46.4910859
"717",11.7822817,46.4912353
"718",11.7820457,46.4913219
"719",11.7875147,46.4908602
"720",11.787264,46.4909918
"721",11.7908954,46.4862037
"722",11.7907945,46.4862738
"723",11.7906221,46.4864042
"724",11.7902094,46.4868513
"725",11.7899798,46.4871712
"726",11.7897888,46.4872886
"727",11.7896085,46.4872827
"728",11.7894111,46.4871822
"729",11.7887674,46.4865617
"730",11.7885872,46.486479
"731",11.7883812,46.4865144
"732",11.7883319,46.4866853
"733",11.7883083,46.4869048
"734",11.7884731,46.4877608
"735",11.7885451,46.4881719
"736",11.7885366,46.4883633
"737",11.7883419,46.4886424
"738",11.7881485,46.4888649
"739",11.7879575,46.4891595
"740",11.7879724,46.4893455
"741",11.7879601,46.489654
"742",11.7877754,46.4905793
"743",11.7877562,46.4906791
"744",11.7877545,46.4906882
"745",11.7876404,46.4907732
"746",11.7875147,46.4908602
"747",11.7911946,46.4858608
"748",11.7908954,46.4862037
"749",11.7692037,46.5525815
"750",11.7693471,46.5526024
"751",11.769538,46.5529977
"752",11.7697935,46.5534597
"753",11.7699343,46.5538763
"754",11.7703547,46.5550033
"755",11.7703997,46.5552537
"756",11.770141,46.5556193
"757",11.7693214,46.5557231
"758",11.7685287,46.5558253
"759",11.7681827,46.5558938
"760",11.7679745,46.5558802
"761",11.7679606,46.5557825
"762",11.8628582,46.5260075
"763",11.8629927,46.5260097
"764",11.8634277,46.5260312
"765",11.8640819,46.5260557
"766",11.8646777,46.526204
"767",11.8649508,46.5266054
"768",11.8654136,46.5268064
"769",11.8658552,46.5268514
"770",11.8665017,46.5268666
"771",11.8670998,46.5269644
"772",11.8675377,46.527036
"773",11.8627372,46.5266179
"774",11.8626806,46.5264921
"775",11.8626515,46.5264277
"776",11.8626232,46.526369
"777",11.8627378,46.5262953
"778",11.8628582,46.5260075
"779",11.862815,46.5255372
"780",11.8624003,46.5251091
"781",11.8623038,46.5249854
"782",11.8619857,46.524554
"783",11.861862,46.5242306
"784",11.8619255,46.5239821
"785",11.862105,46.5237637
"786",11.8623268,46.5236206
"787",11.8626028,46.5235978
"788",11.8627964,46.5236595
"789",11.8631378,46.5239552
"790",11.8633335,46.5242435
